pdf_name,mes,mes_num,dia,precio_ica,precio_libertad,precio_lima
24_octubre_2025.pdf,oct,10,14,4.3,4.1,4.6
24_octubre_2025.pdf,oct,10,15,4.33,4.0,4.45
24_octubre_2025.pdf,oct,10,16,4.34,4.0,4.45
24_octubre_2025.pdf,oct,10,17,4.38,4.0,4.45
24_octubre_2025.pdf,oct,10,18,4.81,4.1,4.45
24_octubre_2025.pdf,oct,10,20,4.36,4.1,4.45
24_octubre_2025.pdf,oct,10,21,4.99,4.1,4.45
24_octubre_2025.pdf,oct,10,22,4.49,4.2,4.45
24_octubre_2025.pdf,oct,10,23,4.4,4.3,4.55
24_setiembre_2025.pdf,sep,9,8,5.02,4.5,5.4
24_setiembre_2025.pdf,sep,9,9,5.09,4.5,5.4
24_setiembre_2025.pdf,sep,9,11,5.03,4.7,5.1
24_setiembre_2025.pdf,sep,9,12,4.88,4.7,5.1
24_setiembre_2025.pdf,sep,9,13,5.11,4.7,5.1
24_setiembre_2025.pdf,sep,9,15,5.14,4.9,5.1
24_setiembre_2025.pdf,sep,9,16,5.29,4.9,5.1
24_setiembre_2025.pdf,sep,9,17,5.25,4.9,5.2
24_setiembre_2025.pdf,sep,9,18,5.25,4.9,5.2
24_setiembre_2025.pdf,sep,9,19,5.29,4.9,5.2
24_setiembre_2025.pdf,sep,9,20,5.56,4.9,5.2
24_setiembre_2025.pdf,sep,9,22,5.1,4.7,5.3
24_setiembre_2025.pdf,sep,9,23,5.06,4.7,5.3
25_diciembre_2025.pdf,dic,12,15,4.86,3.4,6.23
25_diciembre_2025.pdf,dic,12,16,4.39,3.4,6.23
25_diciembre_2025.pdf,dic,12,17,3.76,3.1,6.23
25_diciembre_2025.pdf,dic,12,26,3.35,2.6,4.03
25_diciembre_2025.pdf,dic,12,29,3.64,4.1,4.03
25_marzo_2026.pdf,mar,3,11,6.19,5.8,6.27
25_marzo_2026.pdf,mar,3,12,6.66,5.85,6.38
25_marzo_2026.pdf,mar,3,14,7.12,5.85,6.09
25_marzo_2026.pdf,mar,3,16,6.49,6.0,6.12
25_marzo_2026.pdf,mar,3,17,6.67,5.78,6.68
25_marzo_2026.pdf,mar,3,18,6.53,5.8,6.27
25_marzo_2026.pdf,mar,3,20,6.3,5.57,6.68
25_marzo_2026.pdf,mar,3,23,5.87,5.25,6.17
25_marzo_2026.pdf,mar,3,24,5.97,5.3,6.17
25_noviembre_2025.pdf,nov,11,10,4.34,3.8,4.55
25_noviembre_2025.pdf,nov,11,11,4.34,3.7,4.55
25_noviembre_2025.pdf,nov,11,12,4.29,3.7,4.53
25_noviembre_2025.pdf,nov,11,13,4.15,3.7,4.53
25_noviembre_2025.pdf,nov,11,14,4.61,3.7,4.53
25_noviembre_2025.pdf,nov,11,15,4.61,3.7,4.53
25_noviembre_2025.pdf,nov,11,17,4.17,3.7,4.53
25_noviembre_2025.pdf,nov,11,18,4.17,3.9,4.53
25_noviembre_2025.pdf,nov,11,19,4.34,4.0,4.53
25_noviembre_2025.pdf,nov,11,20,4.39,4.0,4.53
25_noviembre_2025.pdf,nov,11,21,4.58,4.1,4.53
25_octubre_2025.pdf,oct,10,15,4.33,4.0,4.45
25_octubre_2025.pdf,oct,10,16,4.34,4.0,4.45
25_octubre_2025.pdf,oct,10,17,4.38,4.0,4.45
25_octubre_2025.pdf,oct,10,18,4.81,4.1,4.45
25_octubre_2025.pdf,oct,10,20,4.36,4.1,4.45
25_octubre_2025.pdf,oct,10,21,4.99,4.1,4.45
25_octubre_2025.pdf,oct,10,22,4.49,4.2,4.45
25_octubre_2025.pdf,oct,10,23,4.4,4.3,4.55
25_octubre_2025.pdf,oct,10,24,4.56,4.3,4.55
25_octubre_2025.pdf,oct,10,25,4.85,4.4,4.55
25_octubre_2025.pdf,oct,10,27,4.67,4.4,4.55
25_octubre_2025.pdf,oct,10,28,4.78,4.6,4.55
25_octubre_2025.pdf,oct,10,29,4.8,4.6,4.55
25_octubre_2025.pdf,oct,10,30,4.77,4.6,4.55
25_setiembre_2025.pdf,sep,9,9,5.09,4.5,5.4
25_setiembre_2025.pdf,sep,9,11,5.03,4.7,5.1
25_setiembre_2025.pdf,sep,9,12,4.88,4.7,5.1
25_setiembre_2025.pdf,sep,9,13,5.11,4.7,5.1
25_setiembre_2025.pdf,sep,9,15,5.14,4.9,5.1
25_setiembre_2025.pdf,sep,9,16,5.29,4.9,5.1
25_setiembre_2025.pdf,sep,9,17,5.25,4.9,5.2
25_setiembre_2025.pdf,sep,9,18,5.25,4.9,5.2
25_setiembre_2025.pdf,sep,9,19,5.29,4.9,5.2
25_setiembre_2025.pdf,sep,9,20,5.56,4.9,5.2
25_setiembre_2025.pdf,sep,9,22,5.1,4.7,5.3
25_setiembre_2025.pdf,sep,9,23,5.06,4.7,5.3
25_setiembre_2025.pdf,sep,9,24,4.98,4.7,5.3
26_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
26_abril_2026.pdf,abr,4,10,6.37,5.8,6.48
26_abril_2026.pdf,abr,4,14,6.36,5.75,6.1
