ID1,HHID,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2024,      376008101,2,2,73,9,2020, 
2024,      376102301,1,1,75,6,2020, 
2024,      376102301,2,2,75,4,2021, 
2024,      376104601,1,2,89,9,2020, 
2024,      376110801,1,1,62,10,2020, 
2024,      376214101,1,2,59,11,2021, 
2024,      376404001,1,1,75,4,2022, 
2024,      376407101,1,1,90,6,2022, 
2024,      376606401,1,1,34,12,2019, 
2024,      376701801,1,2,74,8,2022, 
2024,      376706301,1,2,52,5,2021, 
2024,      376706301,2,1,62,8,2021, 
2024,      376808601,1,1,95,7,2023, 
2024,      376900201,1,1,70,5,2023, 
2024,      377100701,1,2,43,3,2019,4
2024,      377104601,1,1,56,5,2020, 
2024,      377212401,1,2,53,6,2021, 
2024,      377304601,1,2,65,10,2023, 
2024,      377504201,1,1,53,3,2021, 
2024,      377505901,1,1,5,9,2023, 
2024,      377506401,1,2,38,4,2020,4
2024,      377614001,1,1,32,8,2020, 
2024,      377700901,1,1,74,5,2020, 
2024,      377706101,1,1,36,6,2019, 
2024,      378012901,1,1,48,5,2020, 
2024,      378212001,1,2,0,10,2019, 
2024,      378310201,1,2,53,10,2023, 
2024,      378406401,1,1,65,1,2023, 
2024,      378407201,1,1,94,9,2019, 
2024,      378711201,1,1,69,4,2020, 
2024,      378813701,1,2,94,1,2021, 
2024,      378905601,1,1,74,3,2020, 
2024,      379402701,1,1,21,2,2024, 
2024,      379402701,2,1,27,3,2024, 
2024,      379602601,1,1,13,7,2019, 
2024,      379704301,1,2,6,9,2019, 
2024,      379706801,1,1,57,9,2023, 
2024,      379801501,1,2,55,12,2020, 
2024,      379802601,1,2,60,2,2019, 
2024,      379802901,1,1,30,4,2023, 
2024,      380009001,1,2,65,3,2023, 
2024,      380100301,1,2,76,7,2020, 
2024,      380100301,2,1,75,7,2020, 
2024,      380208701,1,2,63,4,2019, 
2024,      380208701,2,1,73,9,2020, 
2024,      380209701,1,2,88,3,2023, 
2024,      380209701,2,1,87,10,2023, 
2024,      380300401,1,1,48,5,2020, 
2024,      380300401,2,2,54,8,2021, 
2024,      380300401,3,1,61,9,2022, 
2024,      380410601,1,1,56,8,2020, 
2024,      380411701,1,2,65,2,2020, 
2024,      380411701,2,1,81,10,2023, 
2024,      380700601,1,1,62,5,2021, 
2024,      380817901,1,2,55,11,2024, 
2024,      380818601,1,1,22,7,2019, 
2024,      380900801,1,1,0,10,2020, 
2024,      381010501,1,1,20,12,2019, 
2024,      381015801,1,1,55,7,2019, 
2024,      381103101,1,2,17,5,2021,4
2024,      381210101,1,2,11,5,2024, 
2024,      381310401,1,2,36,7,2023,4
2024,      381712201,1,2,68,7,2023, 
2024,      381911501,1,2,90,2,2024, 
2024,      382016001,1,2,62,6,2021, 
2024,      382016001,2,2,99,10,2023, 
2024,      382206101,1,2,88,7,2024, 
2024,      382500401,1,2,87,4,2024, 
2024,      382503801,1,1,83,11,2022, 
2024,      383009301,1,2,63,4,2022, 
2024,      383103701,1,1,64,5,2023, 
2024,      383109301,1,1,88,4,2022, 
2024,      383208601,1,2,77,1,2021, 
2024,      383306801,1,1,94,5,2023, 
2024,      383415401,1,2,59,8,2022, 
2024,      383415401,2,1,84,10,2023, 
2024,      383417701,1,1,42,3,2020, 
2024,      383417801,1,2,65,9,2019, 
2024,      383417801,2,1,42,3,2020, 
2024,      383417901,1,1,90,3,2021, 
2024,      383903401,1,1,84,8,2020, 
2024,      383913101,1,1,56,9,2022, 
2024,      384206701,1,2,88,11,2022, 
2024,      384309401,1,2,1,6,2023, 
2024,      384510101,1,2,60,10,2022, 
2024,      384703901,1,1,80,5,2023, 
2024,      384805001,1,2,46,9,2024,4
2024,      384812701,1,2,57,9,2020, 
2024,      384812701,2,1,35,7,2021, 
2024,      384812801,1,2,58,9,2020, 
2024,      384903901,1,1,84,3,2022, 
2024,      384904001,1,2,65,10,2023, 
2024,      385100301,1,1,39,4,2022, 
2024,      385102701,1,1,86,8,2021, 
2024,      385106201,1,1,49,12,2023, 
2024,      385203901,1,1,98,9,2019, 
2024,      385303101,1,2,64,5,2023, 
2024,      385303101,2,2,102,2,2024, 
2024,      385303201,1,2,67,5,2023, 
2024,      385303201,2,2,108,2,2024, 
2024,      385303301,1,1,72,9,2024, 
2024,      385701601,1,2,94,10,2023, 
2024,      385705801,1,2,79,4,2022, 
2024,      385708001,1,2,77,2,2021, 
2024,      386201401,1,2,83,11,2022, 
2024,      386411801,1,2,92,6,2022, 
2024,      386506901,1,1,68,7,2024, 
2024,      387000901,1,2,64,6,2024, 
2024,      387101401,1,2,64,7,2023, 
2024,      387106301,1,1,59,7,2023, 
2024,      387302301,1,1,77,3,2020, 
2024,      387305401,1,2,57,7,2020, 
2024,      387400101,1,2,59,6,2020, 
2024,      387402201,1,1,84,4,2022, 
2024,      387508901,1,2,49,4,2020,4
2024,      387601801,1,2,100,10,2021, 
2024,      387705001,1,2,81,2,2021, 
2024,      387901901,1,2,69,1,2023, 
2024,      387904601,1,1,34,5,2021, 
2024,      387904601,2,2,74,5,2021, 
